id,type,specimen,proposes,min_age,max_age,agent,standpoint,frames_content,hedge,hedge_wording,negated,grounded_in,correction,applied_to,discriminates_between,discriminating_power,relation,source,label
ex:sk90_claim_alt_tumour,DiagnosticClaim,ex:sk90,ex:boneTumour,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Bone tumour entertained as a differential diagnosis
ex:sk90_claim_alt_venereal,DiagnosticClaim,ex:sk90,ex:venerealSyphilis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,"considering the climate and geography at the sites, venereal syphilis might be the treponemal disease causing the pathologies on the skeletal remains",,,,,,,,ex:schwarz2013,Pre-Columbian venereal syphilis entertained
ex:sk90_claim_harper,DiagnosticClaim,ex:sk90,,,,ex:harper,po:ModernBiomedical,po:ModernBiomedical,po:Probable,disproved most of the alleged pre-Columbian dates of single findings of syphilis from the Old World,,,,,,,,ex:harper2008,Harper et al.: most alleged pre-Columbian syphilis dates disproved
ex:sk90_claim_ortner,DiagnosticClaim,ex:sk90,,,,ex:ortner,po:ModernBiomedical,po:ModernBiomedical,po:Tentative,the presence of syphilis in the Old World before 1500 A.D. remains a very contentious issue,,,,,,,,ex:ortner2011,Ortner: pre-1500 Old World syphilis remains contentious
ex:sk90_claim_preColumbian,DiagnosticClaim,ex:sk90,ex:treponematosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Certain,"St. Albani 90 is for sure pre-Columbian, and has therefore full potential to be a pre-Columbian case of treponemal infection",,ex:sk90_obs_isotopes|ex:sk90_obs_radiocarbon,,,,,cito:agreesWith>ex:sk90_claim_harper;cito:disagreesWith>ex:sk90_claim_ortner,ex:schwarz2013,Sk. 90 asserted as a pre-Columbian case of treponemal infection
ex:sk90_claim_treponematosis,DiagnosticClaim,ex:sk90,ex:treponematosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,only those in skeleton 90 from St. Albani are indicative of treponemal infection,,ex:sk90_obs_femur|ex:sk90_obs_humerus|ex:sk90_obs_parietal|ex:sk90_obs_parietal_ct|ex:sk90_obs_tibia,,,,,,ex:schwarz2013,Treponemal infection proposed for Sk. 90
ex:rf130_reject_leprosy,RejectionClaim,ex:rf130,ex:rf130_claim_alt_leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,none of the five skeletons described in this paper shows any lesions diagnostic of leprosy,,ex:rf130_obs_radius|ex:rf130_obs_tibia,,,,,cito:agreesWith>ex:rf130_claim_boldsen,ex:schwarz2013,Leprosy rejected for Refshale 130
ex:rf130_reject_tuberculosis,RejectionClaim,ex:rf130,ex:rf130_claim_alt_tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,tuberculosis is usually affecting the spine and the inner table of the cranium while hypertrophic expansion of the long bones is described as unusual,,ex:rf130_obs_femur|ex:rf130_obs_humerus,,,,,,ex:schwarz2013,Tuberculosis rejected for Refshale 130
ex:sk90_reject_armPositionDate,RejectionClaim,ex:sk90,ex:sk90_claim_date_armPosition,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,this fact points to an error in the archaeological date by arm position (AD 1250–1400) as compared to reliable radiocarbon date of calAD 1443–1466,,ex:sk90_obs_isotopes,,,,,,ex:schwarz2013,The arm-position date for Sk. 90 is rejected in favour of the radiocarbon date
ex:sk90_reject_fungal,RejectionClaim,ex:sk90,ex:sk90_claim_alt_fungal,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,hypertrophic lesions are also unlikely for a fungal infection,,ex:sk90_obs_humerus,,,,,,ex:schwarz2013,Fungal infection rejected
ex:sk90_reject_leprosy,RejectionClaim,ex:sk90,ex:sk90_claim_alt_leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,none of the five skeletons described in this paper shows any lesions diagnostic of leprosy,,ex:sk90_obs_parietal|ex:sk90_obs_tibia,,,,,,ex:schwarz2013,Leprosy rejected
ex:sk90_reject_osteomyelitis,RejectionClaim,ex:sk90,ex:sk90_claim_alt_osteomyelitis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,"changes caused by pyogenic osteomyelitis are characterized by cloacae and sequestrate, but usually do not involve multiple skeletal elements",,ex:sk90_obs_femur|ex:sk90_obs_humerus|ex:sk90_obs_tibia,,,,,,ex:schwarz2013,Pyogenic osteomyelitis rejected
ex:sk90_reject_pagets,RejectionClaim,ex:sk90,ex:sk90_claim_alt_pagets,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,"Paget's disease is excluded for the cases described here, because no marble-like bone thickening was present on the CT scans",,ex:sk90_obs_parietal_ct,,,,,,ex:schwarz2013,Paget's disease rejected
ex:sk90_reject_tuberculosis,RejectionClaim,ex:sk90,ex:sk90_claim_alt_tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,tuberculosis is usually affecting the spine and the inner table of the cranium while hypertrophic expansion of the long bones is described as unusual,,ex:sk90_obs_femur|ex:sk90_obs_humerus,,,,,,ex:schwarz2013,Tuberculosis rejected
ex:sk90_reject_tumour,RejectionClaim,ex:sk90,ex:sk90_claim_alt_tumour,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,"changes associated with bone tumours are solitary, lytic lesions and periosteal reactions in the radiological image",,ex:sk90_obs_parietal_ct,,,,,,ex:schwarz2013,Bone tumour rejected
ex:sk90_reject_venereal,RejectionClaim,ex:sk90,ex:sk90_claim_alt_venereal,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,the hypothesis that pre-Columbian venereal syphilis existed among the analysed skeletal material is rejected with the help of various archaeometric analyses,,ex:sk90_obs_parietal|ex:sk90_obs_tibia,,,,,,ex:schwarz2013,Pre-Columbian venereal syphilis rejected
ex:rf130_claim_date_armPosition,DatingClaim,ex:rf130,ex:rf130_interval_armPosition,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,ex:rf130_obs_armPosition,,,,,,ex:schwarz2013,Archaeological date of Refshale 130 by arm position
ex:rf130_claim_date_c14,DatingClaim,ex:rf130,ex:rf130_interval_c14|ex:rf130_interval_c14_95,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,the skeleton is radiocarbon dated to calAD 1160–1212 at ± 1 sigma,,ex:rf130_obs_isotopes|ex:rf130_obs_radiocarbon,ex:marineCorrection,,,,,ex:schwarz2013,"Radiocarbon date of Refshale 130, marine-corrected (45 years, 13 % marine diet)"
ex:sk90_claim_date_armPosition,DatingClaim,ex:sk90,ex:sk90_interval_armPosition,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,the observed arm position dates the individual to between AD 1250–1400,,ex:sk90_obs_armPosition,,,,,,ex:schwarz2013,Archaeological date of Sk. 90 by arm position
ex:sk90_claim_date_c14,DatingClaim,ex:sk90,ex:sk90_interval_c14_corrected,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Certain,the radiocarbon age for this individual can be considered to be completely reliable,,ex:sk90_obs_isotopes|ex:sk90_obs_radiocarbon,ex:marineCorrection,,,,cito:updates>ex:sk90_claim_date_armPosition,ex:schwarz2013,"Radiocarbon date of Sk. 90, marine-corrected"
ex:rf130_claim_age,AgeClaim,ex:rf130,,24,46,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,transition analysis suggests an age between 24.7 to 46.4 years with a maximum likelihood of 32.9 years,,ex:rf130_obs_transition,,,,,,ex:schwarz2013,Age at death of Refshale 130 estimated at 24.7–46.4 years
ex:sk90_claim_age,AgeClaim,ex:sk90,,15,23,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,the lowest possible age was 15 years while the upper end estimate was 22.7 years at a level of 95% confidence,,ex:sk90_obs_epiphyses|ex:sk90_obs_transition,,,,,,ex:schwarz2013,Age at death of Sk. 90 estimated at 15–22.7 years (late-juvenile to early-adult)
ex:rf130_claim_noMercuryTreatment,TreatmentClaim,ex:rf130,ex:mercuryTreatment,,,ex:schwarzTeam,po:ModernBiomedical,po:MedievalHumoral,po:Probable,"these individuals were not exposed to high amounts of Hg during their life, but exhibit Hg concentrations typical for the non-exposed individuals",true,ex:rf130_obs_mercury,,,,,,ex:schwarz2013,Treatment with Hg-containing medicine DENIED for Refshale 130
ex:sk90_claim_mercuryTreatment,TreatmentClaim,ex:sk90,ex:mercuryTreatment,,,ex:schwarzTeam,po:ModernBiomedical,po:MedievalHumoral,po:Probable,they have apparently been treated with Hg-containing medicine,,ex:sk90_obs_mercury,,,,,,ex:schwarz2013,Treatment with Hg-containing medicine proposed for Sk. 90
ex:meth_archaeometry,MethodologicalClaim,,ex:radiocarbon,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Certain,the results of the archaeometric analyses applied here cannot elucidate the origin of the probable treponemal bone lesions,,,,ex:rf130|ex:sk90,ex:treponematosis,po:Inconclusive,,ex:schwarz2013,Archaeometric analysis cannot establish the origin of the lesions
ex:meth_armPosition,MethodologicalClaim,,ex:armPosition,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,"the arm position methodology has not been substantiated by scientific dating methods such as radiocarbon dating, dendrochronology or thermoluminescence",,,,,,po:Suggestive,,ex:schwarz2013,Arm-position dating is not substantiated by scientific dating methods
ex:meth_ct,MethodologicalClaim,,ex:ct,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Certain,neither X-ray nor CT-scanning can distinguish between the different causative agents of treponemal infection,,,,,ex:treponematosis|ex:venerealSyphilis,po:Inconclusive,,ex:schwarz2013,CT cannot separate the causative agents of treponemal infection
ex:meth_macroscopic,MethodologicalClaim,,ex:macroscopic,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Certain,the bone lesions of the three treponematoses affecting the skeleton are not distinguishable from each other,,,,,ex:treponematosis|ex:venerealSyphilis,po:Inconclusive,,ex:schwarz2013,Macroscopic examination cannot separate the three treponematoses
ex:meth_mercury,MethodologicalClaim,,ex:cvaas,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,the Hg analysis is found to be a helpful tool when analysing skeletal remains from the medieval times for pathologies,,,,,,po:Suggestive,,ex:schwarz2013,Mercury analysis is a helpful but not decisive tool
ex:rf130_claim_accordance,MethodologicalClaim,,ex:radiocarbon,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,only in the case of burial 130 from Refshale is seen a complete accordance,,,,ex:rf130,,po:Suggestive,,ex:schwarz2013,The paper claims complete accordance between the two dates for Refshale 130
ex:sk89_claim_treponematosis,DiagnosticClaim,ex:sk89,ex:treponematosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,"lesions consistent with treponemal disease are found on several long bones, but only those in skeleton 90 from St. Albani are indicative of treponemal infection",,ex:sk89_obs_tibia|ex:sk89_obs_tibia_cavitation|ex:sk89_obs_tibia_ct,,,,,,ex:schwarz2013,"Treponemal disease entertained for Sk. 89, below the confidence granted to Sk. 90"
ex:sk89_claim_age,AgeClaim,ex:sk89,,20,60,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Tentative,"only the postcranial skeleton is present, which made ageing and sexing the individual difficult",,ex:sk89_obs_tibia,,,,,,ex:schwarz2013,"Age at death of Sk. 89 given only as adult; the bounds recorded here are the study's adult category, not a measured estimate"
ex:sk89_claim_date_c14,DatingClaim,ex:sk89,ex:sk89_interval_c14|ex:sk89_interval_c14_95,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,"no arm position was observed, but radiocarbon dating gave a calibrated age interval of AD 1435-1456 (1 sigma), which is an accurate radiocarbon date",,ex:sk89_obs_radiocarbon|ex:sk89_obs_isotopes,ex:marineCorrection,,,,,ex:schwarz2013,"Radiocarbon date of Sk. 89, marine-corrected; no archaeological date exists for this burial"
ex:sk89_claim_mercuryTreatment,TreatmentClaim,ex:sk89,ex:mercuryTreatment,,,ex:schwarzTeam,po:ModernBiomedical,po:MedievalHumoral,po:Probable,they have apparently been treated with Hg-containing medicine,,ex:sk89_obs_mercury,,,,,,ex:schwarz2013,Treatment with Hg-containing medicine proposed for Sk. 89
ex:sk94_claim_treponematosis,DiagnosticClaim,ex:sk94,ex:treponematosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,the documented lesions of three of them only meet the descriptions of Hackett's on-trial criteria,,ex:sk94_obs_tibia|ex:sk94_obs_tibia_ct|ex:sk94_obs_femur_ct,,,,,,ex:schwarz2013,Treponemal disease entertained for Sk. 94 on on-trial criteria only
ex:sk94_claim_age,AgeClaim,ex:sk94,,35,45,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,the changes on the pubic symphysis as well as on the auricular surface are consistent with an individual who was 35-45 years old when he died,,ex:sk94_obs_pubicSymphysis,,,,,,ex:schwarz2013,Age at death of Sk. 94 estimated at 35-45 years
ex:sk94_claim_date_armPosition,DatingClaim,ex:sk94,ex:sk94_interval_armPosition,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,arm position B places the burial in between AD 1250-1400,,ex:sk94_obs_armPosition,,,,,,ex:schwarz2013,"Archaeological date of Sk. 94 by arm position. Table 2 records 1250-1350 for the same burial; the body text value is the one modelled here, and the difference is in the source"
ex:sk94_claim_date_c14,DatingClaim,ex:sk94,ex:sk94_interval_c14|ex:sk94_interval_c14_late,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,"radiocarbon age indicates a younger age, calAD 1453-1494 (1 sigma), but could also be as late as calAD 1602-1614",,ex:sk94_obs_radiocarbon|ex:sk94_obs_isotopes,ex:marineCorrection,,,,cito:updates>ex:sk94_claim_date_armPosition,ex:schwarz2013,"Radiocarbon date of Sk. 94, marine-corrected, with two calibration ranges two centuries apart"
ex:sk94_claim_mercuryTreatment,TreatmentClaim,ex:sk94,ex:mercuryTreatment,,,ex:schwarzTeam,po:ModernBiomedical,po:MedievalHumoral,po:Probable,they have apparently been treated with Hg-containing medicine,,ex:sk94_obs_mercury,,,,,,ex:schwarz2013,Treatment with Hg-containing medicine proposed for Sk. 94
ex:tp292_claim_treponematosis,DiagnosticClaim,ex:tp292,ex:treponematosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,the changes on the frontal as well as the nasal bones are regarded as diagnostic for treponemal disease,,ex:tp292_obs_frontal|ex:tp292_obs_nasal|ex:tp292_obs_frontal_ct,,,,,,ex:schwarz2013,"Treponemal disease proposed for Tirup 292 on diagnostic, not on-trial, criteria"
ex:tp292_claim_alt_bejel,DiagnosticClaim,ex:tp292,ex:bejel,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,"these changes are regarded as diagnostic for treponemal disease, but can also occur in bejel and yaws",,ex:tp292_obs_frontal,,,,,,ex:schwarz2013,"Bejel left open as an alternative for Tirup 292, entertained and never rejected"
ex:tp292_claim_alt_yaws,DiagnosticClaim,ex:tp292,ex:yaws,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,"these changes are regarded as diagnostic for treponemal disease, but can also occur in bejel and yaws",,ex:tp292_obs_frontal,,,,,,ex:schwarz2013,"Yaws left open as an alternative for Tirup 292, entertained and never rejected"
ex:tp292_claim_age,AgeClaim,ex:tp292,,20,24,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,the individual from burial 292 from Tirup cemetery was most likely a female around 20-24 years,,,,,,,,ex:schwarz2013,Age at death of Tirup 292 estimated at 20-24 years
ex:tp292_claim_date_armPosition,DatingClaim,ex:tp292,ex:tp292_interval_armPosition,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Certain,this cemetery has been studied extensively and has been archaeologically dated prior to 1493 with certainty,,ex:tp292_obs_armPosition,,,,,,ex:schwarz2013,"Archaeological date of Tirup 292. No radiocarbon date exists for this cemetery, so this specimen carries no dating disagreement"
ex:tp292_claim_noMercuryTreatment,TreatmentClaim,ex:tp292,ex:mercuryTreatment,,,ex:schwarzTeam,po:ModernBiomedical,po:MedievalHumoral,po:Probable,"these individuals were not exposed to high amounts of Hg during their life, but exhibit Hg concentrations typical for the non-exposed individuals",true,ex:tp292_obs_mercury,,,,,,ex:schwarz2013,Treatment with Hg-containing medicine DENIED for Tirup 292
ex:sk89_claim_alt_leprosy,DiagnosticClaim,ex:sk89,ex:leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Leprosy entertained as a differential diagnosis for sk89
ex:sk89_reject_leprosy,RejectionClaim,ex:sk89,ex:sk89_claim_alt_leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,none of the five skeletons described in this paper shows any lesions diagnostic of leprosy,,ex:sk89_obs_tibia,,,,,,ex:schwarz2013,Leprosy rejected for sk89
ex:sk89_claim_alt_tuberculosis,DiagnosticClaim,ex:sk89,ex:tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Tuberculosis entertained as a differential diagnosis for sk89
ex:sk89_reject_tuberculosis,RejectionClaim,ex:sk89,ex:sk89_claim_alt_tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,tuberculosis is usually affecting the spine and the inner table of the cranium while hypertrophic expansion of the long bones is described as unusual,,ex:sk89_obs_tibia,,,,,,ex:schwarz2013,Tuberculosis rejected for sk89
ex:sk94_claim_alt_leprosy,DiagnosticClaim,ex:sk94,ex:leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Leprosy entertained as a differential diagnosis for sk94
ex:sk94_reject_leprosy,RejectionClaim,ex:sk94,ex:sk94_claim_alt_leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,none of the five skeletons described in this paper shows any lesions diagnostic of leprosy,,ex:sk94_obs_tibia,,,,,,ex:schwarz2013,Leprosy rejected for sk94
ex:sk94_claim_alt_tuberculosis,DiagnosticClaim,ex:sk94,ex:tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Tuberculosis entertained as a differential diagnosis for sk94
ex:sk94_reject_tuberculosis,RejectionClaim,ex:sk94,ex:sk94_claim_alt_tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,tuberculosis is usually affecting the spine and the inner table of the cranium while hypertrophic expansion of the long bones is described as unusual,,ex:sk94_obs_tibia,,,,,,ex:schwarz2013,Tuberculosis rejected for sk94
ex:tp292_claim_alt_leprosy,DiagnosticClaim,ex:tp292,ex:leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Leprosy entertained as a differential diagnosis for tp292
ex:tp292_reject_leprosy,RejectionClaim,ex:tp292,ex:tp292_claim_alt_leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,none of the five skeletons described in this paper shows any lesions diagnostic of leprosy,,ex:tp292_obs_frontal,,,,,,ex:schwarz2013,Leprosy rejected for tp292
ex:tp292_claim_alt_tuberculosis,DiagnosticClaim,ex:tp292,ex:tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Tuberculosis entertained as a differential diagnosis for tp292
ex:tp292_reject_tuberculosis,RejectionClaim,ex:tp292,ex:tp292_claim_alt_tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,tuberculosis is usually affecting the spine and the inner table of the cranium while hypertrophic expansion of the long bones is described as unusual,,ex:tp292_obs_frontal,,,,,,ex:schwarz2013,Tuberculosis rejected for tp292
ex:meth_freshwater,MethodologicalClaim,,ex:radiocarbon,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,"the radiocarbon ages of all three individuals can therefore be younger than the ages quoted here, which is without a freshwater reservoir correction; it is therefore possible that all three individuals can have died after 1493",,,,ex:sk89|ex:sk94|ex:rf130,ex:treponematosis,po:Inconclusive,,ex:schwarz2013,"No freshwater reservoir correction could be calculated, so the radiocarbon ages of Sk. 89, Sk. 94 and Refshale 130 may be too old and those individuals may postdate 1493"
ex:tp292_claim_preColumbian,DiagnosticClaim,ex:tp292,ex:treponematosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Certain,"the results of our analyses show that those two, Tirup 292 and St. Albani 90, can be securely dated to pre-Columbian times",,ex:tp292_obs_armPosition,,,,,,ex:schwarz2013,Tirup 292 asserted as a securely pre-Columbian case of treponemal infection
